[ 2012-05-03T09:21:03+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:03+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:03+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:03+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:03+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:03+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:03+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:03+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:03+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:03+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:04+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:04+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:04+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:04+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:04+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:04+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:04+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:04+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:04+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:04+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:05+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:05+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:05+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:05+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:05+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:05+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:05+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:05+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:06+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:06+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:06+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:06+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:21:06+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:21:06+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 39 行.
[ 2012-05-03T09:22:08+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:22:08+08:00 ] /index.php/Index/index | SQL: select * from think_user where status=1 [ RunTime:0.030536s ]
[ 2012-05-03T09:22:09+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:22:09+08:00 ] /index.php/Index/index | SQL: select * from think_user where status=1 [ RunTime:0.000235s ]
[ 2012-05-03T09:22:24+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:22:24+08:00 ] /index.php/Index/index | SQL: select * from think_user where status=1 [ RunTime:0.000315s ]
[ 2012-05-03T09:22:24+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:22:24+08:00 ] /index.php/Index/index | SQL: select * from think_user where status=1 [ RunTime:0.000200s ]
[ 2012-05-03T09:22:24+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:22:24+08:00 ] /index.php/Index/index | SQL: select * from think_user where status=1 [ RunTime:0.000213s ]
[ 2012-05-03T09:22:24+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:22:24+08:00 ] /index.php/Index/index | SQL: select * from think_user where status=1 [ RunTime:0.000212s ]
[ 2012-05-03T09:22:48+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:22:48+08:00 ] /index.php/Index/index | SQL: select * from think_user where status=1 [ RunTime:0.000215s ]
[ 2012-05-03T09:22:48+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:22:48+08:00 ] /index.php/Index/index | SQL: select * from think_user where status=1 [ RunTime:0.000190s ]
[ 2012-05-03T09:22:49+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:22:49+08:00 ] /index.php/Index/index | SQL: select * from think_user where status=1 [ RunTime:0.000233s ]
[ 2012-05-03T09:22:49+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:22:49+08:00 ] /index.php/Index/index | SQL: select * from think_user where status=1 [ RunTime:0.000147s ]
[ 2012-05-03T09:22:49+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
[ 2012-05-03T09:22:49+08:00 ] /index.php/Index/index | SQL: select * from think_user where status=1 [ RunTime:0.000214s ]
[ 2012-05-03T09:22:49+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: db IndexAction.class.php 第 33 行.
